Latitude,longitude,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
41.7689,-71.476,2000,5.27,0,5.27,5.27,0,5.27,5.27,0,0,0,5.27,5.27
41.7689,-71.476,2001,0,0,5.27,0,0,5.27,0,0,0,0,0,0
41.7689,-71.476,2002,0,0,5.27,0,5.27,0,0,0,5.27,0,5.27,5.27
41.7689,-71.476,2003,0,5.27,5.27,5.27,5.27,5.27,0,5.27,0,5.27,0,5.27
41.7689,-71.476,2004,0,0,0,5.27,0,0,0,5.27,5.27,0,5.27,5.27
41.7689,-71.476,2005,5.27,0,5.27,5.27,5.27,0,0,0,5.27,10.55,5.27,5.27
41.7689,-71.476,2006,5.27,0,0,0,5.27,10.55,0,5.27,0,5.27,5.27,0
41.7689,-71.476,2007,0,0,5.27,5.27,0,0,0,0,0,0,0,5.27
41.7689,-71.476,2008,0,5.27,5.27,5.27,0,0,5.27,5.27,5.27,0,5.27,5.27
41.7689,-71.476,2009,5.27,0,0,5.27,0,5.27,5.27,5.27,0,5.27,5.27,5.27
41.7689,-71.476,2010,0,5.27,10.55,0,0,5.27,0,5.27,0,5.27,5.27,5.27
41.7689,-71.476,2011,0,5.27,0,5.27,0,5.27,0,5.27,5.27,5.27,5.27,5.27
41.7689,-71.476,2012,0,0,0,0,5.27,5.27,0,5.27,5.27,5.27,0,5.27
41.7689,-71.476,2013,0,5.27,0,0,5.27,10.55,0,0,0,0,5.27,5.27
41.7689,-71.476,2014,0,5.27,5.27,5.27,0,0,5.27,0,0,5.27,5.27,5.27
41.7689,-71.476,2015,5.27,0,5.27,0,0,5.27,0,0,5.27,0,0,5.27
41.7689,-71.476,2016,0,5.27,0,5.27,0,0,0,0,0,5.27,0,5.27
41.7689,-71.476,2017,5.27,0,5.27,5.27,5.27,5.27,5.27,0,5.27,5.27,0,0
41.7689,-71.476,2018,5.27,5.27,5.27,5.27,0,0,0,5.27,5.27,5.27,10.55,5.27
41.7689,-71.476,2019,5.27,5.27,5.27,5.27,5.27,5.27,5.27,5.27,0,5.27,5.27,5.27
41.7689,-71.476,2020,0,0,5.27,5.27,0,0,0,0,0,5.27,5.27,5.27
41.7689,-71.476,2021,1.7,3.01,1.87,3.43,4.01,2.03,7.18,3.72,6.86,5.42,1.74,1.93
41.7689,-71.476,2022,2.74,4.85,2.38,3.2,1.38,2.71,1.04,2.29,4.33,4.32,2.69,4.91
41.7689,-71.476,2000,84.38,63.28,110.74,137.11,79.1,116.02,94.92,73.83,68.55,52.73,84.38,84.38
41.7689,-71.476,2001,58.01,52.73,210.94,42.19,68.55,137.11,52.73,68.55,58.01,26.37,15.82,63.28
41.7689,-71.476,2002,68.55,47.46,94.92,68.55,105.47,79.1,36.91,52.73,105.47,79.1,116.02,121.29
41.7689,-71.476,2003,42.19,89.65,116.02,105.47,84.38,126.56,58.01,110.74,79.1,126.56,52.73,110.74
41.7689,-71.476,2004,26.37,47.46,58.01,189.84,73.83,47.46,79.1,131.84,168.75,47.46,89.65,121.29
41.7689,-71.476,2005,94.92,47.46,131.84,116.02,116.02,26.37,63.28,79.1,84.38,332.23,126.56,84.38
41.7689,-71.476,2006,142.38,58.01,15.82,63.28,205.66,253.12,73.83,105.47,52.73,142.38,152.93,58.01
41.7689,-71.476,2007,73.83,42.19,126.56,189.84,79.1,58.01,68.55,26.37,58.01,68.55,73.83,110.74
41.7689,-71.476,2008,63.28,195.12,137.11,89.65,52.73,68.55,142.38,84.38,210.94,52.73,105.47,174.02
41.7689,-71.476,2009,84.38,42.19,68.55,110.74,73.83,121.29,226.76,89.65,58.01,158.2,94.92,126.56
41.7689,-71.476,2010,73.83,105.47,326.95,31.64,68.55,84.38,68.55,94.92,73.83,121.29,94.92,84.38
41.7689,-71.476,2011,79.1,110.74,63.28,131.84,63.28,116.02,68.55,189.84,152.93,179.3,110.74,94.92
41.7689,-71.476,2012,68.55,26.37,36.91,73.83,100.2,100.2,73.83,110.74,121.29,84.38,26.37,131.84
41.7689,-71.476,2013,42.19,110.74,68.55,47.46,100.2,247.85,79.1,63.28,68.55,21.09,89.65,110.74
41.7689,-71.476,2014,79.1,105.47,131.84,100.2,68.55,58.01,126.56,47.46,26.37,137.11,137.11,147.66
41.7689,-71.476,2015,84.38,68.55,94.92,63.28,31.64,126.56,58.01,63.28,126.56,73.83,63.28,116.02
41.7689,-71.476,2016,73.83,110.74,79.1,84.38,79.1,42.19,52.73,52.73,47.46,137.11,58.01,89.65
41.7689,-71.476,2017,105.47,68.55,84.38,163.48,147.66,89.65,84.38,52.73,105.47,158.2,52.73,58.01
41.7689,-71.476,2018,121.29,126.56,126.56,137.11,36.91,79.1,68.55,89.65,184.57,126.56,237.3,94.92
41.7689,-71.476,2019,152.93,84.38,84.38,163.48,89.65,110.74,121.29,100.2,47.46,147.66,100.2,184.57
41.7689,-71.476,2020,42.19,73.83,100.2,142.38,52.73,68.55,42.19,47.46,26.37,142.38,105.47,179.3
41.7689,-71.476,2021,52.73,84.38,58.01,102.98,124.32,61.03,222.67,115.43,205.79,167.88,52.27,59.69
41.7689,-71.476,2022,85.05,135.67,73.91,95.97,42.9,81.32,32.37,71.1,129.98,133.99,80.59,152.12
